day,crimedate,NUMCRIMES
2,2018-03-06,653
3,2018-03-07,656
4,2018-03-08,660
5,2018-03-09,745
6,2018-03-10,684
7,2018-03-11,618
1,2018-03-12,661
2,2018-03-13,638
3,2018-03-14,664
4,2018-03-15,691
5,2018-03-16,702
6,2018-03-17,777
7,2018-03-18,688
1,2018-03-19,659
2,2018-03-20,712
3,2018-03-21,688
4,2018-03-22,670
5,2018-03-23,752
6,2018-03-24,649
7,2018-03-25,676
1,2018-03-26,696
2,2018-03-27,673
3,2018-03-28,689
4,2018-03-29,629
5,2018-03-30,704
6,2018-03-31,690
7,2018-04-01,730
1,2018-04-02,674
2,2018-04-03,605
3,2018-04-04,698
4,2018-04-05,672
5,2018-04-06,695
6,2018-04-07,635
7,2018-04-08,617
1,2018-04-09,661
2,2018-04-10,712
3,2018-04-11,769
4,2018-04-12,751
5,2018-04-13,781
6,2018-04-14,689
7,2018-04-15,602
1,2018-04-16,733
2,2018-04-17,699
3,2018-04-18,627
4,2018-04-19,724
5,2018-04-20,803
6,2018-04-21,677
7,2018-04-22,698
1,2018-04-23,716
2,2018-04-24,713
3,2018-04-25,750
4,2018-04-26,733
5,2018-04-27,772
6,2018-04-28,679
7,2018-04-29,725
1,2018-04-30,789
2,2018-05-01,1007
3,2018-05-02,789
4,2018-05-03,742
5,2018-05-04,814
6,2018-05-05,854
7,2018-05-06,712
1,2018-05-07,804
2,2018-05-08,803
3,2018-05-09,791
4,2018-05-10,779
5,2018-05-11,729
6,2018-05-12,699
7,2018-05-13,689
1,2018-05-14,788
2,2018-05-15,743
3,2018-05-16,759
4,2018-05-17,794
5,2018-05-18,799
6,2018-05-19,759
7,2018-05-20,762
1,2018-05-21,714
2,2018-05-22,796
3,2018-05-23,781
4,2018-05-24,819
5,2018-05-25,804
6,2018-05-26,853
7,2018-05-27,882
1,2018-05-28,888
2,2018-05-29,874
3,2018-05-30,847
4,2018-05-31,841
5,2018-06-01,1010
6,2018-06-02,819
7,2018-06-03,835
1,2018-06-04,790
2,2018-06-05,752
3,2018-06-06,815
4,2018-06-07,767
5,2018-06-08,774
6,2018-06-09,816
7,2018-06-10,731
1,2018-06-11,748
2,2018-06-12,793
3,2018-06-13,751
4,2018-06-14,755
5,2018-06-15,839
6,2018-06-16,825
7,2018-06-17,829
1,2018-06-18,844
2,2018-06-19,795
